,delay,trial,model,direction,gap
587,0,146,LZP,Independence,20.0
588,0,147,DPE,X -> Y,0.09453095996593076
589,0,147,GC,Independence,0.0010795205203076809
590,0,147,TE,X -> Y,0.2704953586285547
591,0,147,LZP,Independence,29.0
592,0,148,DPE,X -> Y,0.13226157619783113
593,0,148,GC,Independence,0.0001208218051308336
594,0,148,TE,X -> Y,0.3186926072713303
595,0,148,LZP,Independence,24.0
596,0,149,DPE,X -> Y,0.11427324142617484
597,0,149,GC,X -> Y,0.08869115450853092
598,0,149,TE,X -> Y,0.3096747446587437
599,0,149,LZP,Independence,27.0
600,0,150,DPE,X -> Y,0.1133969529814115
601,0,150,GC,Independence,4.331670238198462e-08
602,0,150,TE,X -> Y,0.32504602717077313
603,0,150,LZP,X -> Y,25.0
604,0,151,DPE,X -> Y,0.10280047052727073
605,0,151,GC,Independence,4.936160263683475e-06
606,0,151,TE,X -> Y,0.30188397266274886
607,0,151,LZP,Independence,22.0
608,0,152,DPE,X -> Y,0.10717356292461874
609,0,152,GC,Independence,0.021968569341888344
610,0,152,TE,X -> Y,0.2725716962060082
611,0,152,LZP,Independence,26.0
